Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
85000;74961.0;1.117404E7
85500;80520.0;1.1583766E7
86000;74271.0;1.1161564E7
86500;74591.0;1.1749841E7
87000;81441.0;1.16227E7
87500;76295.0;1.1231755E7
88000;75894.0;1.132012E7
88500;76225.0;1.11696E7
89000;77085.0;1.1328279E7
89500;77123.0;1.2348348E7
90000;87812.0;1.1267556E7
90500;81926.0;1.1650209E7
91000;78870.0;1.1180123E7
91500;79720.0;1.1726506E7
92000;80673.0;1.1501202E7
92500;79742.0;1.1796252E7
93000;80296.0;1.1778911E7
93500;80764.0;1.2119642E7
94000;80947.0;1.2949278E7
94500;82064.0;1.2260241E7
95000;82557.0;1.195022E7
95500;83095.0;1.2136449E7
96000;84320.0;1.2113259E7
96500;83700.0;1.2249925E7
97000;83560.0;1.2470151E7
97500;84217.0;1.2462698E7
98000;84292.0;1.2457668E7
98500;85966.0;1.2548518E7
99000;85661.0;1.2387259E7
99500;86913.0;1.2490069E7
100000;86351.0;1.3978317E7
100500;145178.0;1.2683339E7
101000;88405.0;1.261062E7
101500;86834.0;1.2803291E7
102000;87392.0;1.2737376E7
102500;106186.0;1.3492977E7
103000;91930.0;1.2971401E7
103500;91234.0;1.3264241E7
104000;91448.0;1.3207804E7
104500;91985.0;1.309516E7
105000;90678.0;1.3126117E7
105500;90582.0;1.3912668E7
106000;95843.0;1.3194194E7
106500;103200.0;1.3496982E7
107000;91807.0;1.3010637E7
107500;92191.0;1.3373657E7
108000;92374.0;1.365411E7
108500;93078.0;1.3490983E7
109000;93249.0;1.3627858E7
109500;93658.0;1.3497671E7
110000;97546.0;1.370176E7
110500;94751.0;1.3727275E7
111000;95794.0;1.381998E7
111500;95522.0;1.4156544E7
112000;100957.0;1.4124781E7
112500;102568.0;1.3996503E7
113000;96765.0;1.4206164E7
113500;97956.0;1.4500745E7
114000;97553.0;1.4330548E7
114500;98433.0;1.4067876E7
115000;98863.0;1.4623604E7
115500;99379.0;1.4023157E7
116000;99369.0;1.4240862E7
116500;101069.0;1.4468064E7
117000;100762.0;1.5603814E7
117500;100869.0;1.6601407E7
118000;101092.0;1.5667107E7
118500;101444.0;1.550552E7
119000;102466.0;1.4716142E7
119500;102126.0;1.4516828E7
120000;106779.0;1.43877E7
120500;103075.0;1.4373919E7
121000;103112.0;1.4684618E7
121500;113174.0;1.5312904E7
122000;114614.0;1.5152582E7
122500;107890.0;1.4953809E7
123000;109886.0;1.5147205E7
123500;108366.0;1.5095948E7
124000;105485.0;1.5026962E7
124500;106501.0;1.5052307E7
125000;107322.0;1.5499562E7
125500;108355.0;1.5565517E7
126000;131597.0;1.6834658E7
126500;108786.0;1.796783E7
127000;110702.0;1.782358E7
127500;113419.0;1.6433466E7
128000;114657.0;1.6690677E7
128500;131705.0;1.7510082E7
129000;111388.0;1.6252942E7
129500;114754.0;1.7620718E7
130000;114666.0;1.6502027E7
130500;111937.0;1.6516977E7
131000;112881.0;1.6523862E7
131500;113231.0;1.7760131E7
132000;113440.0;1.6907564E7
132500;119808.0;1.665592E7
133000;114364.0;1.6715272E7
133500;115064.0;1.6844597E7
134000;114664.0;1.6914364E7
134500;116088.0;1.6866587E7
135000;116167.0;1.652293E7
135500;120189.0;1.6538439E7
136000;116385.0;1.6638233E7
136500;118784.0;1.6951171E7
137000;117580.0;1.6679895E7
137500;116895.0;1.6824209E7
138000;119641.0;1.6590863E7
138500;118695.0;1.6903215E7
139000;119252.0;1.9264194E7
139500;119958.0;2.0207314E7
140000;119536.0;2.0707977E7
140500;121006.0;1.8844355E7
141000;121158.0;1.8450316E7
141500;122167.0;1.797154E7
142000;121499.0;1.7933879E7
142500;121728.0;1.7819185E7
143000;128036.0;1.7663907E7
143500;122620.0;1.7662973E7
144000;123582.0;1.7709747E7
144500;124442.0;1.7447623E7
145000;123987.0;1.7558068E7
145500;139577.0;1.791764E7
146000;125336.0;1.7705508E7
146500;125107.0;2.2919019E7
147000;131130.0;2.1414139E7
147500;126254.0;1.8503073E7
148000;127133.0;1.7598736E7
148500;126414.0;1.7581958E7
149000;127269.0;1.8664176E7
149500;127021.0;1.7438093E7
150000;128882.0;1.7832815E7
150500;156442.0;1.8955729E7
151000;133665.0;1.7733441E7
151500;133426.0;1.7963599E7
152000;133740.0;1.7916071E7
152500;134310.0;1.8191935E7
153000;129674.0;1.7896828E7
153500;134946.0;1.8040041E7
154000;132360.0;1.8345694E7
154500;176798.0;1.8043446E7
155000;133125.0;1.8573784E7
155500;133129.0;1.7999162E7
156000;137739.0;1.8491297E7
156500;134720.0;1.8354789E7
157000;134318.0;1.8417192E7
157500;159917.0;1.8596031E7
158000;148812.0;1.8904312E7
158500;139979.0;2.0229948E7
159000;136495.0;1.8681068E7
159500;137222.0;1.8605522E7
160000;140816.0;1.8920231E7
160500;137664.0;1.8683424E7
161000;138561.0;1.8937158E7
161500;139716.0;1.9041752E7
162000;138934.0;1.8919245E7
162500;139315.0;1.8872015E7
163000;140544.0;1.8975475E7
163500;144656.0;1.9011903E7
164000;140605.0;1.9208852E7
164500;141126.0;1.9153728E7
165000;140190.0;1.9499504E7
165500;142736.0;2.0228952E7
166000;142805.0;2.0473158E7
166500;141925.0;2.0405876E7
167000;143781.0;2.0657652E7
167500;143726.0;2.0118735E7
168000;173040.0;2.1177108E7
168500;149096.0;2.0571274E7
169000;144861.0;2.0039719E7
169500;145158.0;2.0365587E7
