Tamanho do Vetor;Tempo de Execução Estático;Tempo de Execução Distribuido
85000;0.0;7.8785255E7
85500;0.0;7.7433166E7
86000;0.0;7.9081254E7
86500;0.0;8.3001772E7
87000;0.0;7.8658818E7
87500;0.0;7.9594351E7
88000;0.0;8.1383087E7
88500;0.0;8.3082142E7
89000;0.0;8.185159E7
89500;0.0;8.0744534E7
90000;0.0;8.2169642E7
90500;0.0;8.3423228E7
91000;0.0;8.3331585E7
91500;0.0;8.4818441E7
92000;0.0;8.3223281E7
92500;0.0;8.4381794E7
93000;0.0;8.6357735E7
93500;0.0;8.4369543E7
94000;0.0;9.2238021E7
94500;0.0;8.9722029E7
95000;0.0;8.7836751E7
95500;0.0;9.1474991E7
96000;0.0;8.8004352E7
96500;0.0;8.8837952E7
97000;0.0;8.8401304E7
97500;0.0;8.9816612E7
98000;0.0;8.9023197E7
98500;0.0;8.9480918E7
99000;0.0;9.1548011E7
99500;0.0;8.9999896E7
100000;0.0;9.4411459E7
